
2348810240 bytes (2.3 GB, 2.2 GiB) copied, 217 s, 10.8 MB/s
2357198848 bytes (2.4 GB, 2.2 GiB) copied, 218 s, 10.8 MB/s
2373976064 bytes (2.4 GB, 2.2 GiB) copied, 219 s, 10.8 MB/s
2390753280 bytes (2.4 GB, 2.2 GiB) copied, 220 s, 10.9 MB/s
2407530496 bytes (2.4 GB, 2.2 GiB) copied, 221 s, 10.9 MB/s
2424307712 bytes (2.4 GB, 2.3 GiB) copied, 222 s, 10.9 MB/s
2441084928 bytes (2.4 GB, 2.3 GiB) copied, 223 s, 10.9 MB/s
2457862144 bytes (2.5 GB, 2.3 GiB) copied, 224 s, 11.0 MB/s
2474639360 bytes (2.5 GB, 2.3 GiB) copied, 225 s, 11.0 MB/s
2491416576 bytes (2.5 GB, 2.3 GiB) copied, 226 s, 11.0 MB/s
2508193792 bytes (2.5 GB, 2.3 GiB) copied, 228 s, 11.0 MB/s
2516582400 bytes (2.5 GB, 2.3 GiB) copied, 228 s, 11.0 MB/s
2533359616 bytes (2.5 GB, 2.4 GiB) copied, 229 s, 11.1 MB/s
2550136832 bytes (2.6 GB, 2.4 GiB) copied, 230 s, 11.1 MB/s
2566914048 bytes (2.6 GB, 2.4 GiB) copied, 231 s, 11.1 MB/s
2583691264 bytes (2.6 GB, 2.4 GiB) copied, 232 s, 11.1 MB/s
2600468480 bytes (2.6 GB, 2.4 GiB) copied, 233 s, 11.1 MB/s
2608857088 bytes (2.6 GB, 2.4 GiB) copied, 234 s, 11.1 MB/s
2625634304 bytes (2.6 GB, 2.4 GiB) copied, 235 s, 11.2 MB/s
2642411520 bytes (2.6 GB, 2.5 GiB) copied, 236 s, 11.2 MB/s
2659188736 bytes (2.7 GB, 2.5 GiB) copied, 237 s, 11.2 MB/s
2675965952 bytes (2.7 GB, 2.5 GiB) copied, 238 s, 11.2 MB/s
2692743168 bytes (2.7 GB, 2.5 GiB) copied, 239 s, 11.3 MB/s
2709520384 bytes (2.7 GB, 2.5 GiB) copied, 240 s, 11.3 MB/s
2726297600 bytes (2.7 GB, 2.5 GiB) copied, 241 s, 11.3 MB/s
2743074816 bytes (2.7 GB, 2.6 GiB) copied, 242 s, 11.3 MB/s
2759852032 bytes (2.8 GB, 2.6 GiB) copied, 243 s, 11.3 MB/s
2776629248 bytes (2.8 GB, 2.6 GiB) copied, 244 s, 11.4 MB/s
2793406464 bytes (2.8 GB, 2.6 GiB) copied, 245 s, 11.4 MB/s
2810183680 bytes (2.8 GB, 2.6 GiB) copied, 246 s, 11.4 MB/s
2826960896 bytes (2.8 GB, 2.6 GiB) copied, 247 s, 11.4 MB/s
2843738112 bytes (2.8 GB, 2.6 GiB) copied, 248 s, 11.5 MB/s
2860515328 bytes (2.9 GB, 2.7 GiB) copied, 249 s, 11.5 MB/s
2885681152 bytes (2.9 GB, 2.7 GiB) copied, 250 s, 11.5 MB/s
2894069760 bytes (2.9 GB, 2.7 GiB) copied, 251 s, 11.5 MB/s
2910846976 bytes (2.9 GB, 2.7 GiB) copied, 252 s, 11.5 MB/s
2927624192 bytes (2.9 GB, 2.7 GiB) copied, 253 s, 11.6 MB/s
2944401408 bytes (2.9 GB, 2.7 GiB) copied, 254 s, 11.6 MB/s
2961178624 bytes (3.0 GB, 2.8 GiB) copied, 255 s, 11.6 MB/s
2969567232 bytes (3.0 GB, 2.8 GiB) copied, 256 s, 11.6 MB/s
2986344448 bytes (3.0 GB, 2.8 GiB) copied, 257 s, 11.6 MB/s
3003121664 bytes (3.0 GB, 2.8 GiB) copied, 258 s, 11.6 MB/s
3019898880 bytes (3.0 GB, 2.8 GiB) copied, 259 s, 11.7 MB/s
3036676096 bytes (3.0 GB, 2.8 GiB) copied, 260 s, 11.7 MB/s
3053453312 bytes (3.1 GB, 2.8 GiB) copied, 261 s, 11.7 MB/s
3070230528 bytes (3.1 GB, 2.9 GiB) copied, 262 s, 11.7 MB/s
3087007744 bytes (3.1 GB, 2.9 GiB) copied, 263 s, 11.7 MB/s
3103784960 bytes (3.1 GB, 2.9 GiB) copied, 265 s, 11.7 MB/s
3112173568 bytes (3.1 GB, 2.9 GiB) copied, 265 s, 11.7 MB/s
3137339392 bytes (3.1 GB, 2.9 GiB) copied, 266 s, 11.8 MB/s
3154116608 bytes (3.2 GB, 2.9 GiB) copied, 267 s, 11.8 MB/s
3170893824 bytes (3.2 GB, 3.0 GiB) copied, 268 s, 11.8 MB/s
3187671040 bytes (3.2 GB, 3.0 GiB) copied, 269 s, 11.8 MB/s
3204448256 bytes (3.2 GB, 3.0 GiB) copied, 270 s, 11.9 MB/s
3221225472 bytes (3.2 GB, 3.0 GiB) copied, 271 s, 11.9 MB/s
3238002688 bytes (3.2 GB, 3.0 GiB) copied, 272 s, 11.9 MB/s
3254779904 bytes (3.3 GB, 3.0 GiB) copied, 273 s, 11.9 MB/s
3271557120 bytes (3.3 GB, 3.0 GiB) copied, 274 s, 11.9 MB/s
3288334336 bytes (3.3 GB, 3.1 GiB) copied, 275 s, 11.9 MB/s
3305111552 bytes (3.3 GB, 3.1 GiB) copied, 276 s, 12.0 MB/s
3321888768 bytes (3.3 GB, 3.1 GiB) copied, 277 s, 12.0 MB/s
3338665984 bytes (3.3 GB, 3.1 GiB) copied, 278 s, 12.0 MB/s
3355443200 bytes (3.4 GB, 3.1 GiB) copied, 279 s, 12.0 MB/s
3372220416 bytes (3.4 GB, 3.1 GiB) copied, 280 s, 12.0 MB/s
3380609024 bytes (3.4 GB, 3.1 GiB) copied, 281 s, 12.0 MB/s
3397386240 bytes (3.4 GB, 3.2 GiB) copied, 282 s, 12.0 MB/s
3414163456 bytes (3.4 GB, 3.2 GiB) copied, 283 s, 12.1 MB/s
3430940672 bytes (3.4 GB, 3.2 GiB) copied, 284 s, 12.1 MB/s
3447717888 bytes (3.4 GB, 3.2 GiB) copied, 285 s, 12.1 MB/s
3464495104 bytes (3.5 GB, 3.2 GiB) copied, 286 s, 12.1 MB/s
3481272320 bytes (3.5 GB, 3.2 GiB) copied, 287 s, 12.1 MB/s
3498049536 bytes (3.5 GB, 3.3 GiB) copied, 288 s, 12.1 MB/s
3514826752 bytes (3.5 GB, 3.3 GiB) copied, 289 s, 12.2 MB/s
3531603968 bytes (3.5 GB, 3.3 GiB) copied, 290 s, 12.2 MB/s
3548381184 bytes (3.5 GB, 3.3 GiB) copied, 291 s, 12.2 MB/s
3565158400 bytes (3.6 GB, 3.3 GiB) copied, 292 s, 12.2 MB/s
3590324224 bytes (3.6 GB, 3.3 GiB) copied, 293 s, 12.2 MB/s
3607101440 bytes (3.6 GB, 3.4 GiB) copied, 294 s, 12.3 MB/s
3623878656 bytes (3.6 GB, 3.4 GiB) copied, 295 s, 12.3 MB/s
3640655872 bytes (3.6 GB, 3.4 GiB) copied, 296 s, 12.3 MB/s
3657433088 bytes (3.7 GB, 3.4 GiB) copied, 297 s, 12.3 MB/s
3674210304 bytes (3.7 GB, 3.4 GiB) copied, 298 s, 12.3 MB/s
3690987520 bytes (3.7 GB, 3.4 GiB) copied, 299 s, 12.3 MB/s
3707764736 bytes (3.7 GB, 3.5 GiB) copied, 300 s, 12.3 MB/s
3716153344 bytes (3.7 GB, 3.5 GiB) copied, 301 s, 12.3 MB/s
3741319168 bytes (3.7 GB, 3.5 GiB) copied, 303 s, 12.4 MB/s
3749707776 bytes (3.7 GB, 3.5 GiB) copied, 303 s, 12.4 MB/s
3774873600 bytes (3.8 GB, 3.5 GiB) copied, 304 s, 12.4 MB/s
